FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.27906,0.68381,0.31213,0.24276,0.63289
0.36747,0.5848,0.21375,0.39403,0.57313
0.45603,0.52997,0.32861,0.46946,0.55342
0.3518,0.54785,0.2135,0.27665,0.6269
0.26477,0.62743,0.42712,0.18569,0.6558
0.23067,0.65122,0.41064,0.33067,0.71005
0.31109,0.67325,0.32849,0.24806,0.58746
0.28864,0.62466,0.64038,0.37454,0.61181
0.39094,0.61104,0.31201,0.43818,0.61832
0.48459,0.58657,0.24634,0.51807,0.56625
0.41945,0.54056,0.21362,0.38098,0.5256
0.38275,0.51633,0.31201,0.36025,0.44459
0.42956,0.4984,0.37805,0.5067,0.55759
0.44234,0.52571,0.27942,0.40192,0.51893
0.43594,0.53389,0.34521,0.45931,0.51899
0.48039,0.52311,0.41064,0.50956,0.48505
0.50248,0.5735,0.0658,0.57735,0.79738
0.52749,0.52265,0.60754,0.51727,0.44171
0.51083,0.47938,0.41064,0.45749,0.43102
0.36246,0.53708,0.21362,0.31998,0.66386
0.27112,0.62125,0.24634,0.23257,0.61211
0.38425,0.47841,0.1969,0.42344,0.43528
0.47951,0.46369,0.24634,0.52652,0.46106
0.50825,0.48838,0.39429,0.35711,0.63752
0.31784,0.60016,0.26257,0.45789,0.49887
0.45431,0.45382,0.31213,0.50109,0.38141
0.4916,0.4082,0.44373,0.44637,0.4858
0.46359,0.42204,0.69006,0.50709,0.39617
0.40406,0.48795,0.22986,0.29149,0.62238
0.40582,0.48296,0.19714,0.4845,0.39541
0.47673,0.35652,0.57495,0.49988,0.31071
0.44422,0.42785,0.21399,0.32565,0.56819
0.27829,0.62409,0.2467,0.2455,0.65384
0.46847,0.39164,0.54199,0.38294,0.60123
0.28113,0.62208,0.22998,0.20014,0.59615
0.35255,0.49864,0.21375,0.40191,0.4513
0.42729,0.40922,0.2627,0.44878,0.34995
0.43061,0.40626,0.67346,0.34084,0.5541
0.34687,0.48202,0.39404,0.35778,0.56809
0.37168,0.58592,0.22998,0.3426,0.51581
0.25258,0.58889,0.21411,0.20394,0.54482
0.26664,0.59533,0.27942,0.35469,0.54387
0.32025,0.55434,0.77197,0.29705,0.53632
0.26032,0.47305,0.26294,0.25975,0.28213
0.26126,0.3742,0.23022,0.21289,0.54615
0.24236,0.54154,0.67383,0.27247,0.52296
0.28558,0.5308,0.55823,0.26944,0.45975
0.26561,0.58019,0.2301,0.24467,0.6253
0.27184,0.56349,0.26282,0.30183,0.58633
0.25573,0.53777,0.39429,0.27024,0.56872
0.28084,0.53711,0.62415,0.30958,0.53553
0.30636,0.55801,0.52551,0.30173,0.54496
0.34152,0.53674,0.72253,0.30105,0.49209
0.28328,0.5495,0.24634,0.25517,0.57499
0.35122,0.54868,0.22998,0.47516,0.53194
0.39111,0.58129,0.26306,0.33242,0.58433
0.34462,0.58384,0.45996,0.35177,0.52063
0.3694,0.56345,0.37793,0.37626,0.61362
0.35447,0.58654,0.42688,0.30456,0.61371
0.22482,0.61076,0.34509,0.23783,0.65116
0.30137,0.58241,0.26282,0.41111,0.58912
0.45893,0.54571,0.24634,0.51591,0.51243
0.43798,0.56691,0.22998,0.32705,0.59153
0.38404,0.60235,0.36133,0.39772,0.53544
0.35895,0.56316,0.2793,0.26118,0.59051
0.30397,0.57243,0.2793,0.34048,0.53113
0.27693,0.5925,0.41077,0.3339,0.54814
0.31682,0.57296,0.11487,0.29692,0.62598
0.39406,0.50356,0.24634,0.40632,0.59177
0.36398,0.59471,0.24646,0.3498,0.65265
0.42965,0.57747,0.22974,0.54342,0.59008
0.4427,0.60076,0.22986,0.40758,0.64427
0.40884,0.5765,0.32849,0.41971,0.53414
0.3931,0.52838,0.26282,0.38105,0.69625
0.38453,0.62734,0.36157,0.49444,0.61402
0.47608,0.58431,0.46008,0.51699,0.57593
0.49075,0.56421,0.26282,0.30915,0.6036
0.32076,0.61258,0.26257,0.26619,0.52066
0.27661,0.63165,0.32849,0.20418,0.59442
0.23732,0.62433,0.37781,0.3147,0.57625
0.29489,0.5132,0.21338,0.3194,0.35347
0.31127,0.25305,0.21362,0.27405,0.21055
0.39159,0.42926,0.19727,0.40842,0.56577
0.45194,0.53132,0.427,0.50593,0.41694
0.50537,0.46977,0.7229,0.33691,0.56595
0.3931,0.56796,0.27905,0.41918,0.57332
0.43419,0.58471,0.31226,0.50272,0.53116
0.46065,0.49612,0.44385,0.47529,0.57681
0.41071,0.53741,0.27905,0.28759,0.62645
0.30975,0.59252,0.24658,0.4002,0.46461
0.41378,0.50336,0.22986,0.40679,0.423
0.52273,0.40293,0.42725,0.53297,0.33792
0.45533,0.37872,0.2301,0.35572,0.50622
0.31742,0.5472,0.2959,0.25934,0.55776
0.34579,0.57442,0.31201,0.37806,0.55827
0.3375,0.54811,0.34497,0.33368,0.57858
0.30938,0.55591,0.69006,0.29307,0.48062
0.38813,0.50017,0.2301,0.44043,0.45661
0.37915,0.47553,0.29565,0.34943,0.50542
0.34907,0.50839,0.29578,0.41642,0.41633
0.44022,0.4748,0.41064,0.43038,0.39254
0.40367,0.4865,0.22986,0.36482,0.58161
0.35547,0.49313,0.29565,0.30822,0.4229
0.33298,0.46246,0.34497,0.3646,0.4692
0.4315,0.45906,0.2301,0.45231,0.45715
0.43693,0.46348,0.36133,0.29164,0.46175
0.34761,0.45367,0.47644,0.38966,0.37193
0.40925,0.45404,0.26294,0.42091,0.46407
