FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.82387,0.82744,0.26227,0.86514,0.78711
0.83814,0.81661,0.09851,0.82118,0.82082
0.62009,0.82384,0.22998,0.57237,0.82754
0.56511,0.77864,0.32825,0.57391,0.74739
0.55964,0.71807,0.31171,0.71761,0.56865
0.68518,0.58965,0.26276,0.61469,0.55694
0.55025,0.55998,0.24622,0.47051,0.53565
0.51887,0.65326,0.21356,0.51537,0.72375
0.48752,0.63878,0.22986,0.47213,0.59435
0.52464,0.60611,0.27942,0.61171,0.60094
0.5944,0.59092,0.42725,0.5497,0.5545
0.55567,0.54824,0.32892,0.48454,0.61805
0.53705,0.69556,0.54199,0.54089,0.73045
0.5544,0.72908,0.77197,0.53019,0.76536
0.56465,0.77836,0.62439,0.54993,0.70167
0.55118,0.74236,0.39429,0.72194,0.70807
0.63091,0.72061,0.31201,0.76697,0.71489
0.69829,0.71162,0.3125,0.62136,0.72588
0.65673,0.75277,0.26263,0.77968,0.86971
0.70525,0.8874,0.29572,0.61801,0.8847
0.64175,0.8641,0.41235,0.74367,0.89528
0.68094,0.8712,0.29572,0.55085,0.84052
0.52559,0.87619,0.50909,0.39668,0.89133
0.31524,0.91067,0.34497,0.23393,0.91878
0.27791,0.88814,0.32837,0.33969,0.88282
0.36252,0.8511,0.37799,0.5155,0.81521
0.58157,0.78593,0.24652,0.66401,0.74158
0.65058,0.7683,0.88727,0.6839,0.81592
0.67063,0.72975,0.3288,0.64209,0.697
0.6346,0.73238,0.87061,0.66191,0.71073
0.58395,0.66784,0.23004,0.55516,0.64889
0.52,0.68274,0.49274,0.44962,0.68596
0.50702,0.59807,0.59125,0.54133,0.56456
0.53948,0.5583,0.54218,0.54871,0.60256
0.48655,0.52182,0.64087,0.46834,0.53848
0.52038,0.74238,0.27917,0.55813,0.75248
0.55552,0.7249,0.22998,0.71999,0.84084
0.67991,0.78448,0.22998,0.60236,0.78442
0.51726,0.73797,0.54218,0.57593,0.72191
0.59926,0.71209,0.263,0.69647,0.71486
0.65139,0.73405,0.34534,0.55333,0.74964
0.5803,0.74729,0.29572,0.78237,0.81992
0.75971,0.8411,0.44336,0.80925,0.87831
0.76565,0.83126,0.24622,0.73853,0.76016
0.78124,0.77238,0.31213,0.8223,0.73629
0.84179,0.71256,0.29578,0.84793,0.6428
0.76213,0.67205,0.23016,0.60123,0.7696
0.53379,0.7957,0.4436,0.48326,0.79907
0.49814,0.83609,1.1991,0.52379,0.86592
0.50036,0.83961,0.64075,0.60922,0.71779
0.47093,0.64283,0.1972,0.51042,0.71387
0.47053,0.71323,0.263,0.43128,0.66703
0.50007,0.80248,0.87061,0.49028,0.65211
0.52492,0.63954,0.60803,0.53757,0.55631
0.51425,0.57894,0.83795,0.47744,0.62705
0.50139,0.52774,0.68982,0.49126,0.55426
0.49837,0.59684,0.24628,0.51823,0.74071
0.55605,0.75802,0.50946,0.70501,0.83325
0.5973,0.7565,0.24622,0.54829,0.68726
0.57465,0.66391,0.55859,0.66865,0.65993
0.6222,0.69828,0.39423,0.55556,0.66305
0.6199,0.74279,0.22974,0.76389,0.86434
0.74153,0.80364,0.41071,0.70138,0.76687
0.77882,0.81932,0.37775,0.74741,0.74218
0.73458,0.76222,0.44348,0.84516,0.72749
0.75644,0.74797,0.24622,0.59846,0.73102
0.79286,0.66844,0.21344,0.76106,0.6996
0.69406,0.71113,0.23029,0.59014,0.74934
0.54942,0.78761,0.26404,0.51663,0.79239
0.50632,0.81086,0.52563,0.50592,0.79988
0.51757,0.89673,0.19714,0.53943,0.83876
0.52351,0.85219,0.96912,0.49134,0.869
0.50714,0.85699,0.70624,0.53354,0.83472
0.51923,0.83811,0.49268,0.50178,0.81316
0.53622,0.77741,0.57483,0.53019,0.82345
0.52965,0.77203,0.29547,0.5274,0.70678
0.52412,0.62781,0.22998,0.54858,0.61192
0.51247,0.6233,0.54218,0.47682,0.57838
0.48976,0.60058,0.49292,0.46544,0.57282
0.44146,0.5638,0.4436,0.41169,0.54792
0.41995,0.52492,0.83813,0.48032,0.64423
0.55224,0.73793,0.4599,0.53473,0.78444
0.56899,0.69309,0.77197,0.65222,0.71993
0.65854,0.75255,0.26221,0.6684,0.7753
0.59829,0.76875,0.31226,0.53994,0.74904
0.52818,0.74508,0.52588,0.59286,0.67979
0.62145,0.71894,0.24634,0.70241,0.81846
0.70172,0.83685,0.31213,0.76036,0.86643
0.75179,0.81039,0.26385,0.72172,0.79244
0.68897,0.76671,0.52509,0.77537,0.69627
0.81334,0.70221,0.24664,0.83895,0.67491
0.72906,0.68964,0.21356,0.58593,0.71379
0.52978,0.75064,0.24652,0.45684,0.80861
0.4679,0.81619,0.41083,0.52631,0.84006
0.53482,0.84551,0.57495,0.62596,0.78423
0.68193,0.75091,0.2301,0.77964,0.70555
0.79092,0.6757,0.23083,0.84615,0.61264
0.75185,0.65873,0.24628,0.6324,0.68888
0.57807,0.64441,0.22986,0.51068,0.6033
0.5122,0.55607,0.37781,0.34421,0.66971
0.2798,0.72442,0.26288,0.21036,0.72976
0.2693,0.73525,0.34479,0.25431,0.85122
0.34518,0.78909,0.24658,0.42913,0.73008
0.49249,0.74238,0.24634,0.61701,0.71791
0.67335,0.69106,0.27911,0.72819,0.6783
0.67869,0.62568,0.3941,0.55471,0.57546
0.57353,0.532,0.34515,0.56312,0.47758
0.6516,0.56529,0.29547,0.62258,0.66363
0.72625,0.69637,0.26263,0.81587,0.62711
0.79865,0.75126,0.22998,0.74556,0.89379
0.77886,0.76005,0.24646,0.82607,0.67139
0.80022,0.6529,0.41095,0.70875,0.64231
0.63519,0.64466,0.31195,0.58113,0.64899
0.60951,0.68,0.24658,0.69919,0.77698
0.72709,0.7064,0.32892,0.85135,0.67016
0.84705,0.63187,0.29572,0.88596,0.59109
0.71023,0.60531,0.21344,0.66391,0.61149
0.55242,0.63126,0.2135,0.51815,0.62185
0.58241,0.60966,0.2298,0.67634,0.57322
0.6606,0.60499,0.52563,0.64743,0.6517
0.63057,0.59591,0.36169,0.60768,0.49128
0.56885,0.54484,0.45984,0.52239,0.54006
0.55626,0.5704,0.55853,0.78611,0.65
0.73434,0.67963,0.39429,0.70722,0.68356
0.66534,0.70779,0.31213,0.60662,0.69425
0.55584,0.71052,1.05145,0.69322,0.67352
0.66769,0.66918,0.26257,0.59499,0.66901
0.56789,0.67098,0.36023,0.54597,0.69836
0.51489,0.63245,0.26276,0.51982,0.56276
0.48986,0.60401,0.37799,0.44027,0.60118
0.44757,0.62034,0.69,0.38411,0.62902
0.42325,0.72411,0.2135,0.42678,0.78767
0.48144,0.79627,0.50916,0.63438,0.76728
0.71218,0.73903,0.47626,0.91374,0.83478
0.86087,0.85324,0.2796,0.79171,0.89018
0.78863,0.84713,0.45953,0.81408,0.8451
0.71329,0.82391,0.22998,0.67582,0.81897
0.69563,0.82408,0.29547,0.74456,0.81232
0.71696,0.81691,0.37787,0.70286,0.82056
0.75137,0.81769,0.36108,0.61488,0.79491
0.59493,0.80508,0.27936,0.53257,0.84106
0.53614,0.77957,0.36139,0.68131,0.7642
0.69017,0.75688,0.39417,0.71894,0.73336
0.75011,0.63292,0.24628,0.7585,0.64797
0.63484,0.62863,0.21362,0.58011,0.64394
0.55968,0.66553,0.31213,0.59387,0.77825
0.60473,0.79682,0.42725,0.73374,0.84365
0.70822,0.84337,0.24652,0.56964,0.85291
0.58916,0.81846,1.1991,0.61164,0.85199
0.64422,0.82805,0.41058,0.69422,0.8585
0.71834,0.85621,0.60773,0.78355,0.85711
0.783,0.85794,0.42725,0.78943,0.77192
0.75152,0.67962,0.08215,0.63052,0.61129
0.75389,0.71608,0.24646,0.66106,0.73582
0.60964,0.74423,0.27924,0.64611,0.57987
0.80724,0.8323,0.60785,0.83818,0.89866
0.88251,0.84169,0.29578,0.92888,0.80665
0.89569,0.81494,0.39404,0.73497,0.6931
0.51025,0.5668,0.24603,0.50315,0.5916
0.47536,0.55164,0.34509,0.11648,0.89126
0.52051,0.57833,0.87073,0.57503,0.59681
0.54047,0.59322,0.93652,0.7163,0.59153
0.63622,0.5838,0.24652,0.51762,0.5846
0.56317,0.57165,0.29578,0.57659,0.52133
0.62905,0.57183,0.26288,0.71704,0.57927
0.73167,0.54067,0.67334,0.73384,0.64837
0.75348,0.6026,0.37787,0.79154,0.57169
0.45545,0.52053,0.46002,0.5372,0.53356
0.53688,0.50898,0.67365,0.47619,0.50444
0.44183,0.51611,0.26288,0.41458,0.52919
0.38658,0.57214,0.24628,0.46551,0.62666
0.67117,0.67277,0.29565,0.64632,0.61867
0.54022,0.68866,0.19714,0.50463,0.68852
0.65334,0.55424,0.44354,0.61226,0.58967
0.57461,0.55523,0.4765,0.54586,0.60641
0.53348,0.64311,0.31226,0.53224,0.7291
0.5143,0.72226,0.59235,0.55683,0.55525
0.52295,0.52739,0.73926,0.52828,0.57305
0.50059,0.58591,0.46014,0.38748,0.5918
0.37195,0.51434,0.26263,0.37204,0.42529
0.40536,0.44017,0.34515,0.45973,0.41709
0.44645,0.40168,0.27924,0.45115,0.37291
0.40592,0.3686,0.54211,0.36596,0.38815
0.34839,0.32985,0.26294,0.31486,0.31959
0.31784,0.39764,0.29553,0.31023,0.45278
0.32357,0.47923,0.39441,0.38444,0.44704
0.43405,0.48364,0.93622,0.43657,0.52823
0.44503,0.49739,0.42694,0.44451,0.45172
0.44439,0.45962,0.54199,0.5313,0.6014
0.57372,0.69277,0.36163,0.61428,0.70283
0.60444,0.71395,0.41077,0.47947,0.72979
0.48605,0.71908,0.29584,0.56212,0.71155
0.56959,0.71217,0.37787,0.60988,0.71053
0.58343,0.70223,0.37799,0.57097,0.65769
0.60141,0.64584,0.34485,0.68379,0.57525
0.7638,0.6022,0.23004,0.80228,0.54271
0.67114,0.55552,0.21326,0.56055,0.54918
0.49543,0.70483,0.19708,0.43682,0.80907
0.4663,0.79237,0.37799,0.45527,0.7398
0.47519,0.73386,0.36157,0.50339,0.716
0.52602,0.69096,0.26257,0.57832,0.5289
0.48629,0.58736,0.4599,0.47588,0.63697
0.48968,0.5877,0.29504,0.56772,0.43482
0.55493,0.46913,0.36139,0.62375,0.51263
0.63599,0.5214,0.32861,0.66933,0.57982
0.56503,0.54431,0.32874,0.5164,0.53943
0.49088,0.55224,0.32867,0.44241,0.56541
0.46602,0.58995,0.34607,0.57487,0.67397
0.61269,0.70519,0.31201,0.61427,0.63171
0.62051,0.63313,0.29559,0.60446,0.50902
0.58108,0.53094,0.41052,0.62887,0.36376
0.70038,0.30437,0.2793,0.72504,0.28503
0.67679,0.30283,0.26251,0.63625,0.33226
0.57516,0.51285,0.21356,0.60794,0.81137
0.56039,0.79375,0.80505,0.65841,0.63077
0.56656,0.55189,0.26251,0.52909,0.55516
0.49836,0.54403,0.47632,0.46239,0.57447
0.49789,0.53281,0.27881,0.51591,0.52315
0.52485,0.54154,0.32831,0.49704,0.57765
0.51135,0.5614,0.49274,0.52203,0.50995
0.54462,0.56923,0.19727,0.88778,0.92165
0.52123,0.62749,0.34521,0.49091,0.72074
