FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.42249,0.47255,0.29553,0.20592,0.43482
0.20356,0.45689,0.37781,0.39044,0.51686
0.70005,0.68079,0.34509,0.80494,0.73219
0.87228,0.71587,0.39429,0.88825,0.67227
0.21124,0.72749,0.46008,0.17033,0.74817
0.24267,0.71707,0.24646,0.4525,0.68753
0.55947,0.71646,0.2467,0.86584,0.73888
0.86335,0.76993,0.57507,0.66117,0.69285
0.4597,0.52017,0.21338,0.30309,0.31292
0.19365,0.20172,0.31213,0.15335,0.16447
0.18992,0.17497,0.27942,0.49312,0.18689
0.56613,0.17999,0.24634,0.66235,0.14153
0.69769,0.17854,0.23022,0.75497,0.19237
0.88428,0.17391,0.49304,0.64699,0.19343
0.61117,0.20713,0.24658,0.67113,0.18461
0.61798,0.26326,0.22986,0.30135,0.47368
0.26612,0.52262,0.24609,0.26055,0.57915
0.77296,0.59324,0.2135,0.83302,0.62298
0.83778,0.5624,0.28064,0.86217,0.50609
0.88038,0.47062,0.27905,0.88654,0.35658
0.78699,0.3689,0.21387,0.39519,0.39083
0.3753,0.38093,0.427,0.20115,0.43241
0.23436,0.49974,0.29565,0.42277,0.58003
0.73698,0.61271,0.3783,0.83229,0.55039
0.85354,0.4975,0.24695,0.86948,0.44028
0.82293,0.39073,0.29688,0.51882,0.57751
0.39661,0.63284,0.26306,0.22289,0.65301
0.20066,0.60749,0.26257,0.16868,0.51171
0.15318,0.44559,0.22974,0.14182,0.37569
0.33948,0.36453,0.19702,0.64936,0.30437
0.65052,0.33583,0.39417,0.68072,0.46874
0.63971,0.55032,0.52563,0.61975,0.51183
0.65573,0.52438,0.62427,0.42445,0.52489
0.28603,0.59672,0.19702,0.18265,0.67241
0.20928,0.67402,0.31213,0.49649,0.65135
0.67863,0.6019,0.26294,0.74671,0.44934
0.79955,0.35383,0.2135,0.83013,0.2619
0.86007,0.19387,0.22974,0.87468,0.17225
0.88436,0.16885,0.52563,0.73694,0.33177
0.74437,0.32439,0.49268,0.72324,0.31262
0.32116,0.5297,0.24646,0.55819,0.55596
0.73626,0.6159,0.19727,0.83559,0.63207
0.84887,0.6541,0.32849,0.87406,0.70873
0.85576,0.70935,0.37781,0.59921,0.61859
0.46294,0.51948,0.23022,0.366,0.41295
0.19337,0.29557,0.2301,0.14436,0.25624
0.15916,0.22284,0.39441,0.22211,0.23401
0.69108,0.50059,0.34497,0.83802,0.66858
0.85262,0.70359,0.34509,0.66604,0.73499
0.54833,0.70067,0.21362,0.34235,0.68403
0.25355,0.6586,0.24646,0.11727,0.59345
0.15012,0.5647,0.26404,0.37348,0.36437
0.4814,0.28802,0.24658,0.68892,0.1948
0.76569,0.13375,0.24646,0.83443,0.11904
0.84378,0.13489,0.37781,0.70706,0.32102
0.49104,0.41365,0.19727,0.35532,0.48328
0.25094,0.53187,0.22986,0.15492,0.62617
0.17249,0.66102,0.31226,0.34487,0.72942
0.4478,0.69563,0.21375,0.53922,0.5581
0.6951,0.49194,0.21338,0.80611,0.4528
0.86511,0.35673,0.31201,0.72247,0.28277
0.57578,0.21638,0.19702,0.46962,0.19534
